n,len,mean_v,frac_ge_1,frac_ge_2,frac_ge_3,frac_ge_4,frac_ge_5,frac_ge_6,frac_ge_7,frac_ge_8,frac_ge_9,frac_ge_10
3325705,45,2.066667,1.000000,0.555556,0.244444,0.133333,0.022222,0.022222,0.022222,0.022222,0.022222,0.022222
3673127,70,1.900000,1.000000,0.514286,0.228571,0.100000,0.028571,0.014286,0.014286,0.000000,0.000000,0.000000
4017515,56,1.982143,1.000000,0.464286,0.267857,0.142857,0.035714,0.017857,0.017857,0.017857,0.017857,0.000000
1606487,43,2.069767,1.000000,0.511628,0.302326,0.162791,0.046512,0.046512,0.000000,0.000000,0.000000,0.000000
1339369,64,1.906250,1.000000,0.515625,0.218750,0.125000,0.046875,0.000000,0.000000,0.000000,0.000000,0.000000
3080567,50,2.020000,1.000000,0.480000,0.300000,0.160000,0.080000,0.000000,0.000000,0.000000,0.000000,0.000000
6824777,60,1.966667,1.000000,0.433333,0.250000,0.133333,0.066667,0.033333,0.033333,0.016667,0.000000,0.000000
6900863,41,2.146341,1.000000,0.536585,0.268293,0.170732,0.097561,0.048780,0.024390,0.000000,0.000000,0.000000
8327587,20,2.750000,1.000000,0.650000,0.400000,0.350000,0.200000,0.150000,0.000000,0.000000,0.000000,0.000000
3700969,24,2.500000,1.000000,0.625000,0.375000,0.208333,0.166667,0.083333,0.041667,0.000000,0.000000,0.000000
936869,58,1.931034,1.000000,0.534483,0.293103,0.086207,0.017241,0.000000,0.000000,0.000000,0.000000,0.000000
5633651,33,2.272727,1.000000,0.575758,0.333333,0.212121,0.060606,0.030303,0.030303,0.030303,0.000000,0.000000
1514009,26,2.384615,1.000000,0.653846,0.346154,0.192308,0.076923,0.076923,0.038462,0.000000,0.000000,0.000000
12221,31,2.032258,1.000000,0.419355,0.322581,0.193548,0.096774,0.000000,0.000000,0.000000,0.000000,0.000000
6083819,26,2.461538,1.000000,0.576923,0.307692,0.192308,0.115385,0.115385,0.076923,0.076923,0.000000,0.000000
5755343,71,1.901408,1.000000,0.450704,0.183099,0.084507,0.056338,0.028169,0.028169,0.028169,0.028169,0.014085
5901331,91,1.835165,1.000000,0.428571,0.208791,0.131868,0.043956,0.021978,0.000000,0.000000,0.000000,0.000000
7714051,75,1.893333,1.000000,0.480000,0.213333,0.106667,0.040000,0.026667,0.013333,0.013333,0.000000,0.000000
1268111,35,2.171429,1.000000,0.657143,0.314286,0.171429,0.028571,0.000000,0.000000,0.000000,0.000000,0.000000
8207297,63,1.952381,1.000000,0.460317,0.253968,0.158730,0.063492,0.015873,0.000000,0.000000,0.000000,0.000000
6669797,65,1.938462,1.000000,0.538462,0.246154,0.123077,0.015385,0.015385,0.000000,0.000000,0.000000,0.000000
2294207,83,1.843373,1.000000,0.469880,0.216867,0.084337,0.024096,0.024096,0.012048,0.012048,0.000000,0.000000
1492651,62,1.919355,1.000000,0.532258,0.241935,0.096774,0.048387,0.000000,0.000000,0.000000,0.000000,0.000000
1948739,39,2.128205,1.000000,0.512821,0.307692,0.205128,0.076923,0.025641,0.000000,0.000000,0.000000,0.000000
4575463,42,2.119048,1.000000,0.619048,0.333333,0.142857,0.023810,0.000000,0.000000,0.000000,0.000000,0.000000
6435917,96,1.822917,1.000000,0.458333,0.197917,0.093750,0.031250,0.010417,0.010417,0.010417,0.010417,0.000000
8214017,56,2.000000,1.000000,0.553571,0.267857,0.107143,0.035714,0.035714,0.000000,0.000000,0.000000,0.000000
245221,75,1.826667,1.000000,0.453333,0.173333,0.120000,0.053333,0.013333,0.013333,0.000000,0.000000,0.000000
4127287,32,2.281250,1.000000,0.593750,0.437500,0.187500,0.031250,0.031250,0.000000,0.000000,0.000000,0.000000
6948023,130,1.761538,1.000000,0.430769,0.207692,0.100000,0.023077,0.000000,0.000000,0.000000,0.000000,0.000000
6688925,24,2.541667,1.000000,0.666667,0.458333,0.250000,0.083333,0.041667,0.041667,0.000000,0.000000,0.000000
1745731,41,2.097561,1.000000,0.585366,0.292683,0.170732,0.024390,0.024390,0.000000,0.000000,0.000000,0.000000
4075409,44,2.090909,1.000000,0.568182,0.272727,0.159091,0.045455,0.022727,0.022727,0.000000,0.000000,0.000000
8125889,24,2.541667,1.000000,0.625000,0.333333,0.166667,0.125000,0.083333,0.083333,0.041667,0.041667,0.041667
